AÑO;MES;DIA;REGION;COMUNA;TOTAL
2021;2;22;I Región de Tarapacá;IQUIQUE;20
2021;12;7;I Región de Tarapacá;IQUIQUE;20
2021;4;8;I Región de Tarapacá;IQUIQUE;13
2021;4;1;I Región de Tarapacá;ALTO HOSPICIO;2
2021;3;29;I Región de Tarapacá;IQUIQUE;16
2021;10;27;I Región de Tarapacá;IQUIQUE;5
2021;1;13;I Región de Tarapacá;HUARA;1
2021;8;24;I Región de Tarapacá;IQUIQUE;7
2021;4;15;I Región de Tarapacá;ALTO HOSPICIO;1
2021;9;6;I Región de Tarapacá;IQUIQUE;33
2021;11;25;I Región de Tarapacá;IQUIQUE;12
2021;5;25;I Región de Tarapacá;IQUIQUE;13
2021;8;6;I Región de Tarapacá;IQUIQUE;7
2021;9;22;I Región de Tarapacá;POZO ALMONTE;1
2021;10;20;I Región de Tarapacá;IQUIQUE;17
2021;7;21;I Región de Tarapacá;IQUIQUE;15
2021;8;17;I Región de Tarapacá;ALTO HOSPICIO;1
2021;9;23;I Región de Tarapacá;IQUIQUE;16
2021;1;26;I Región de Tarapacá;IQUIQUE;16
2021;10;6;I Región de Tarapacá;POZO ALMONTE;1
2021;9;13;I Región de Tarapacá;POZO ALMONTE;1
2021;3;2;I Región de Tarapacá;IQUIQUE;21
2021;8;11;I Región de Tarapacá;IQUIQUE;10
2021;5;13;I Región de Tarapacá;IQUIQUE;13
2021;10;25;I Región de Tarapacá;IQUIQUE;28
2021;3;25;I Región de Tarapacá;IQUIQUE;6
2021;11;22;I Región de Tarapacá;ALTO HOSPICIO;1
2021;11;29;I Región de Tarapacá;IQUIQUE;26
2021;4;22;I Región de Tarapacá;IQUIQUE;9
2021;5;12;I Región de Tarapacá;IQUIQUE;13
2021;12;30;I Región de Tarapacá;IQUIQUE;21
2021;2;1;I Región de Tarapacá;POZO ALMONTE;2
2021;9;27;I Región de Tarapacá;IQUIQUE;25
2021;8;4;I Región de Tarapacá;IQUIQUE;16
2021;2;4;I Región de Tarapacá;IQUIQUE;16
2021;5;18;I Región de Tarapacá;COLCHANE;1
2021;2;9;I Región de Tarapacá;IQUIQUE;17
2021;4;12;I Región de Tarapacá;COLCHANE;1
2021;10;1;I Región de Tarapacá;IQUIQUE;18
2021;12;2;I Región de Tarapacá;IQUIQUE;10
2021;11;15;I Región de Tarapacá;IQUIQUE;21
2021;2;15;I Región de Tarapacá;IQUIQUE;24
2021;6;16;I Región de Tarapacá;IQUIQUE;12
2021;3;12;I Región de Tarapacá;IQUIQUE;20
2021;9;9;I Región de Tarapacá;IQUIQUE;14
2021;6;30;I Región de Tarapacá;IQUIQUE;9
2021;1;20;I Región de Tarapacá;IQUIQUE;19
2021;11;5;I Región de Tarapacá;IQUIQUE;27
2021;12;24;I Región de Tarapacá;IQUIQUE;10
2021;5;11;I Región de Tarapacá;IQUIQUE;17
2021;4;7;I Región de Tarapacá;IQUIQUE;11
2021;9;8;I Región de Tarapacá;IQUIQUE;26
2021;3;16;I Región de Tarapacá;IQUIQUE;15
2021;6;1;I Región de Tarapacá;IQUIQUE;19
2021;8;13;I Región de Tarapacá;IQUIQUE;18
2021;6;9;I Región de Tarapacá;IQUIQUE;14
2021;6;25;I Región de Tarapacá;IQUIQUE;14
2021;11;2;I Región de Tarapacá;IQUIQUE;35
2021;9;30;I Región de Tarapacá;IQUIQUE;9
2021;12;1;I Región de Tarapacá;IQUIQUE;9
2021;2;12;I Región de Tarapacá;IQUIQUE;14
2021;6;15;I Región de Tarapacá;IQUIQUE;18
2021;4;29;I Región de Tarapacá;IQUIQUE;9
2021;7;9;I Región de Tarapacá;IQUIQUE;11
2021;11;4;I Región de Tarapacá;IQUIQUE;14
2021;2;1;I Región de Tarapacá;IQUIQUE;16
2021;12;9;I Región de Tarapacá;IQUIQUE;13
2021;8;17;I Región de Tarapacá;IQUIQUE;15
2021;1;26;I Región de Tarapacá;HUARA;1
2021;7;13;I Región de Tarapacá;IQUIQUE;17
2021;4;15;I Región de Tarapacá;IQUIQUE;16
2021;3;23;I Región de Tarapacá;POZO ALMONTE;1
2021;3;31;I Región de Tarapacá;IQUIQUE;18
2021;3;9;I Región de Tarapacá;IQUIQUE;16
2021;7;27;I Región de Tarapacá;IQUIQUE;25
2021;4;16;I Región de Tarapacá;IQUIQUE;12
2021;5;3;I Región de Tarapacá;IQUIQUE;16
2021;4;3;I Región de Tarapacá;IQUIQUE;5
2021;1;21;I Región de Tarapacá;IQUIQUE;13
2021;8;27;I Región de Tarapacá;IQUIQUE;10
2021;5;27;I Región de Tarapacá;IQUIQUE;22
2021;11;18;I Región de Tarapacá;IQUIQUE;12
2021;5;17;I Región de Tarapacá;IQUIQUE;14
2021;3;17;I Región de Tarapacá;IQUIQUE;20
2021;9;22;I Región de Tarapacá;IQUIQUE;16
2021;7;5;I Región de Tarapacá;ALTO HOSPICIO;1
2021;1;28;I Región de Tarapacá;IQUIQUE;17
2021;12;10;I Región de Tarapacá;IQUIQUE;17
2021;9;1;I Región de Tarapacá;IQUIQUE;17
2021;5;19;I Región de Tarapacá;IQUIQUE;17
2021;3;19;I Región de Tarapacá;IQUIQUE;15
2021;12;15;I Región de Tarapacá;IQUIQUE;19
2021;9;16;I Región de Tarapacá;IQUIQUE;20
2021;1;8;I Región de Tarapacá;IQUIQUE;16
2021;4;21;I Región de Tarapacá;IQUIQUE;16
2021;6;10;I Región de Tarapacá;IQUIQUE;13
2021;9;15;I Región de Tarapacá;IQUIQUE;14
2021;3;16;I Región de Tarapacá;HUARA;1
2021;1;7;I Región de Tarapacá;IQUIQUE;14
2021;1;12;I Región de Tarapacá;IQUIQUE;22
2021;12;28;I Región de Tarapacá;IQUIQUE;21
2021;3;3;I Región de Tarapacá;IQUIQUE;8
2021;11;12;I Región de Tarapacá;IQUIQUE;9
2021;10;5;I Región de Tarapacá;IQUIQUE;11
2021;7;28;I Región de Tarapacá;IQUIQUE;9
2021;4;19;I Región de Tarapacá;IQUIQUE;28
2021;11;24;I Región de Tarapacá;IQUIQUE;23
2021;11;17;I Región de Tarapacá;IQUIQUE;18
2021;8;12;I Región de Tarapacá;IQUIQUE;15
2021;6;18;I Región de Tarapacá;IQUIQUE;11
2021;3;4;I Región de Tarapacá;IQUIQUE;7
2021;10;14;I Región de Tarapacá;IQUIQUE;15
2021;4;20;I Región de Tarapacá;IQUIQUE;12
2021;1;15;I Región de Tarapacá;IQUIQUE;10
2021;4;28;I Región de Tarapacá;IQUIQUE;23
2021;4;6;I Región de Tarapacá;IQUIQUE;16
2021;10;27;I Región de Tarapacá;POZO ALMONTE;1
2021;12;31;I Región de Tarapacá;IQUIQUE;5
2021;2;19;I Región de Tarapacá;IQUIQUE;19
2021;5;31;I Región de Tarapacá;IQUIQUE;17
2021;2;24;I Región de Tarapacá;IQUIQUE;16
2021;5;19;I Región de Tarapacá;ALTO HOSPICIO;1
2021;1;19;I Región de Tarapacá;ALTO HOSPICIO;1
2021;6;4;I Región de Tarapacá;IQUIQUE;12
2021;4;27;I Región de Tarapacá;IQUIQUE;13
2021;8;10;I Región de Tarapacá;IQUIQUE;13
2021;10;29;I Región de Tarapacá;IQUIQUE;17
2021;8;23;I Región de Tarapacá;IQUIQUE;30
2021;12;3;I Región de Tarapacá;IQUIQUE;10
2021;10;7;I Región de Tarapacá;IQUIQUE;10
2021;7;30;I Región de Tarapacá;IQUIQUE;16
2021;12;13;I Región de Tarapacá;IQUIQUE;38
2021;9;14;I Región de Tarapacá;IQUIQUE;13
2021;6;17;I Región de Tarapacá;IQUIQUE;13
2021;12;21;I Región de Tarapacá;IQUIQUE;13
2021;7;1;I Región de Tarapacá;IQUIQUE;13
2021;11;10;I Región de Tarapacá;HUARA;1
2021;7;26;I Región de Tarapacá;IQUIQUE;22
2021;7;29;I Región de Tarapacá;IQUIQUE;7
2021;8;16;I Región de Tarapacá;IQUIQUE;27
2021;12;16;I Región de Tarapacá;IQUIQUE;12
2021;8;26;I Región de Tarapacá;IQUIQUE;20
2021;4;14;I Región de Tarapacá;IQUIQUE;17
2021;8;12;I Región de Tarapacá;ALTO HOSPICIO;1
2021;3;8;I Región de Tarapacá;IQUIQUE;28
2021;3;11;I Región de Tarapacá;IQUIQUE;9
2021;10;21;I Región de Tarapacá;IQUIQUE;12
2021;3;23;I Región de Tarapacá;IQUIQUE;19
2021;3;19;I Región de Tarapacá;HUARA;0
2021;6;22;I Región de Tarapacá;IQUIQUE;35
2021;12;20;I Región de Tarapacá;IQUIQUE;18
2021;2;26;I Región de Tarapacá;IQUIQUE;15
2021;6;10;I Región de Tarapacá;HUARA;1
2021;4;22;I Región de Tarapacá;ALTO HOSPICIO;1
2021;9;28;I Región de Tarapacá;IQUIQUE;6
2021;2;5;I Región de Tarapacá;IQUIQUE;13
2021;1;7;I Región de Tarapacá;HUARA;1
2021;3;26;I Región de Tarapacá;IQUIQUE;15
2021;11;30;I Región de Tarapacá;IQUIQUE;22
2021;2;23;I Región de Tarapacá;ALTO HOSPICIO;1
2021;3;17;I Región de Tarapacá;POZO ALMONTE;1
2021;4;1;I Región de Tarapacá;IQUIQUE;17
2021;7;15;I Región de Tarapacá;IQUIQUE;21
2021;8;2;I Región de Tarapacá;IQUIQUE;30
2021;12;14;I Región de Tarapacá;IQUIQUE;13
2021;7;6;I Región de Tarapacá;IQUIQUE;18
2021;3;23;I Región de Tarapacá;COLCHANE;1
2021;4;5;I Región de Tarapacá;IQUIQUE;29
2021;6;29;I Región de Tarapacá;IQUIQUE;27
2021;11;3;I Región de Tarapacá;IQUIQUE;21
2021;7;2;I Región de Tarapacá;IQUIQUE;16
2021;10;22;I Región de Tarapacá;ALTO HOSPICIO;1
2021;1;20;I Región de Tarapacá;ALTO HOSPICIO;1
2021;7;20;I Región de Tarapacá;IQUIQUE;20
2021;11;16;I Región de Tarapacá;IQUIQUE;18
2021;3;15;I Región de Tarapacá;IQUIQUE;23
2021;3;19;I Región de Tarapacá;ALTO HOSPICIO;1
2021;10;26;I Región de Tarapacá;PICA;1
2021;6;2;I Región de Tarapacá;ALTO HOSPICIO;1
2021;3;5;I Región de Tarapacá;COLCHANE;1
2021;2;16;I Región de Tarapacá;IQUIQUE;6
2021;4;28;I Región de Tarapacá;POZO ALMONTE;1
2021;3;10;I Región de Tarapacá;PICA;1
2021;10;21;I Región de Tarapacá;ALTO HOSPICIO;1
2021;3;30;I Región de Tarapacá;IQUIQUE;6
2021;10;28;I Región de Tarapacá;IQUIQUE;9
2021;8;20;I Región de Tarapacá;IQUIQUE;18
2021;11;22;I Región de Tarapacá;IQUIQUE;20
2021;10;6;I Región de Tarapacá;IQUIQUE;9
2021;1;19;I Región de Tarapacá;IQUIQUE;13
2021;7;22;I Región de Tarapacá;IQUIQUE;19
2021;11;30;I Región de Tarapacá;ALTO HOSPICIO;1
2021;8;25;I Región de Tarapacá;IQUIQUE;13
2021;7;7;I Región de Tarapacá;IQUIQUE;16
2021;4;13;I Región de Tarapacá;IQUIQUE;18
2021;5;26;I Región de Tarapacá;IQUIQUE;14
